alert_id,alert_timestamp,alert_type,severity,sku_id,retailer_name,metric_name,threshold_value,actual_value,root_cause_narrative,status,assigned_to,assignment_comment,resolved_timestamp
ALERT-20230805-0070,2023-08-05 08:00:00,DISTRIBUTION_LOSS,Low,SKU-C10,Walmart,DISTRIBUTION LOSS,5,8.8,ACV distribution for Brand C XL Wild at Walmart dropped 8.8 points. Possible delist or planogram reset.,Open,,,
ALERT-20230805-0095,2023-08-05 08:00:00,DISTRIBUTION_LOSS,Low,SKU-B07,Walmart,DISTRIBUTION LOSS,5,6.27,ACV distribution for Brand B 6pk Max at Walmart dropped 6.27 points. Possible delist or planogram reset.,Open,,,
ALERT-20230805-0099,2023-08-05 08:00:00,VELOCITY_DECLINE,Medium,SKU-C02,Costco,VELOCITY DECLINE,10,13.46,"Velocity for Brand C 8oz Bold at Costco declined 13.46% week-over-week, below 10% threshold.",Open,,,
ALERT-20230729-0045,2023-07-29 08:00:00,PROMO_ROI_MISS,Medium,SKU-B05,Walmart,PROMO ROI MISS,1,0.87,Promo ROI for Brand B 24oz Classic at Walmart came in at 0.87x vs 1x target. Trade spend below breakeven.,Open,,,
ALERT-20230729-0103,2023-07-29 08:00:00,DISTRIBUTION_LOSS,Low,SKU-A07,Target,DISTRIBUTION LOSS,5,10.82,ACV distribution for Brand A 6pk Max at Target dropped 10.82 points. Possible delist or planogram reset.,Open,,,
ALERT-20230715-0047,2023-07-15 08:00:00,VELOCITY_DECLINE,Medium,SKU-C05,Kroger,VELOCITY DECLINE,10,19.22,"Velocity for Brand C 24oz Classic at Kroger declined 19.22% week-over-week, below 10% threshold.",Acknowledged,,,
ALERT-20230715-0119,2023-07-15 08:00:00,DISTRIBUTION_LOSS,Low,SKU-B02,Amazon,DISTRIBUTION LOSS,5,12.39,ACV distribution for Brand B 8oz Bold at Amazon dropped 12.39 points. Possible delist or planogram reset.,Resolved,mike.chen@company.com,Please review and take action.,2023-07-19 00:00:00
ALERT-20230708-0084,2023-07-08 08:00:00,DISTRIBUTION_LOSS,Low,SKU-C06,Amazon,DISTRIBUTION LOSS,5,8.36,ACV distribution for Brand C 32oz Pro at Amazon dropped 8.36 points. Possible delist or planogram reset.,Acknowledged,,,
ALERT-20230701-0032,2023-07-01 08:00:00,OOS_BREACH,High,SKU-C04,Target,OOS BREACH,5,15.52,OOS rate 15.52% at Target exceeded 5% threshold for Brand C 16oz Premium. DC safety stock may be depleted.,Acknowledged,,,
ALERT-20230701-0085,2023-07-01 08:00:00,PROMO_ROI_MISS,Medium,SKU-A10,Amazon,PROMO ROI MISS,1,0.24,Promo ROI for Brand A XL Wild at Amazon came in at 0.24x vs 1x target. Trade spend below breakeven.,Assigned,sarah.jones@company.com,Please review and take action.,
ALERT-20230617-0004,2023-06-17 08:00:00,VELOCITY_DECLINE,Medium,SKU-A08,Walmart,VELOCITY DECLINE,10,18.66,"Velocity for Brand A 12pk Pure at Walmart declined 18.66% week-over-week, below 10% threshold.",Open,,,
ALERT-20230617-0007,2023-06-17 08:00:00,VELOCITY_DECLINE,Medium,SKU-A01,Target,VELOCITY DECLINE,10,17.99,"Velocity for Brand A 4oz Original at Target declined 17.99% week-over-week, below 10% threshold.",Assigned,sarah.jones@company.com,Please review and take action.,
ALERT-20230610-0027,2023-06-10 08:00:00,DISTRIBUTION_LOSS,Low,SKU-B07,Costco,DISTRIBUTION LOSS,5,9.45,ACV distribution for Brand B 6pk Max at Costco dropped 9.45 points. Possible delist or planogram reset.,Open,,,
ALERT-20230610-0071,2023-06-10 08:00:00,DISTRIBUTION_LOSS,Low,SKU-B07,Costco,DISTRIBUTION LOSS,5,15.84,ACV distribution for Brand B 6pk Max at Costco dropped 15.84 points. Possible delist or planogram reset.,Acknowledged,,,
ALERT-20230603-0113,2023-06-03 08:00:00,OOS_BREACH,High,SKU-A09,Costco,OOS BREACH,5,12.66,OOS rate 12.66% at Costco exceeded 5% threshold for Brand A Value Fresh. DC safety stock may be depleted.,Open,,,
